name,pred
005Sb_final.cif,-4.342883201
005Sn.cif,-3.926764729
010P.cif,-3.472262043
010Sb_final.cif,-4.159228504
010Sn.cif,-3.920312912
010Zr.cif,-3.254447574
015Sb_final.cif,-4.354145278
015Sn.cif,-3.920312912
020P.cif,-3.44388972
020Sb_final.cif,-4.338531439
020Sn.cif,-4.038366476
020Zr.cif,-3.001460652
030P.cif,-3.318545221
030Zr.cif,-3.17858504
040P.cif,-3.31698386
040Zr.cif,-3.073270801
050P.cif,-3.329381211
100169.cif,-6.345017181
109168.cif,-6.566981076
110781.cif,-3.396276908
1125.cif,-4.800644282
113374.cif,-3.887000838
14364.cif,-7.570088861
1485.cif,-6.674373443
150918.cif,-6.364187423
150920.cif,-8.493333847
151900.cif,-5.39108593
154400.cif,-3.910927544
155126.cif,-6.467957647
155950.cif,-5.224078491
156894.cif,-6.181284179
157628.cif,-4.856164324
157654.cif,-3.305514976
158372.cif,-6.78187901
158373.cif,-5.52688383
159426.cif,-7.865156744
159732.cif,-9.154737961
161343.cif,-4.997763635
16229.cif,-7.009988378
167528.cif,-6.31912672
16800.cif,-5.117766818
168141.cif,-8.230912087
168145.cif,-9.067488304
170956.cif,-7.760258994
171171.cif,-4.761579052
174202.cif,-4.088039905
180318.cif,-3.2123548
180319.cif,-3.2123548
180629.cif,-5.191351974
180630.cif,-5.411605052
180631.cif,-5.411605052
180632.cif,-5.39687784
18096.cif,-6.046628409
18152.cif,-7.726009051
18229.cif,-3.009471219
183672.cif,-6.028519931
183676.cif,-6.359856214
183677.cif,-6.281779339
183686.cif,-3.394556936
183873.cif,-3.29352403
183876.cif,-6.407026914
185218.cif,-6.183874548
186450.cif,-5.665371873
186451.cif,-5.786115272
186452.cif,-5.99109329
188493.cif,-5.813740551
189530.cif,-4.457992699
190825.cif,-3.471836572
190826.cif,-3.471836572
190827.cif,-3.681806454
193755.cif,-2.568247398
193768.cif,-5.6280536
194284.cif,-9.023450463
195182.cif,-3.550264142
200874.cif,-6.120060429
200891.cif,-6.38827158
201935.cif,-7.281598221
20208.cif,-7.417642387
202627.cif,-4.636030041
234585.cif,-3.238984947
234586.cif,-3.238984947
234588.cif,-3.12513003
234592.cif,-2.989848137
234595.cif,-2.744315798
235185.cif,-3.102792416
235201.cif,-6.153702913
235207.cif,-4.518264935
235750.cif,-7.698605015
236010.cif,-7.27772539
237141.cif,-4.042365946
237145.cif,-4.157441312
237146.cif,-3.804325439
237199.cif,-4.829045316
237200.cif,-4.829045316
237201.cif,-5.071068419
238600.cif,-6.398725005
238601.cif,-6.416576665
238602.cif,-6.709553875
238603.cif,-7.084578847
238683.cif,-4.8910382
