name,pred
005Sb_final.cif,-4.710187912
005Sn.cif,-3.485298157
010P.cif,-3.553627014
010Sb_final.cif,-4.649905682
010Sn.cif,-3.971422434
010Zr.cif,-3.169101477
015Sb_final.cif,-3.473388672
015Sn.cif,-2.94336772
020P.cif,-3.981775522
020Sb_final.cif,-4.307287216
020Sn.cif,-3.932893038
020Zr.cif,-2.905913353
030P.cif,-3.530966759
030Zr.cif,-2.951843739
040P.cif,-3.367990732
040Zr.cif,-2.927492142
050P.cif,-3.356759071
100169.cif,-6.859102249
109168.cif,-6.254837513
110781.cif,-3.896277666
1125.cif,-5.226871967
113374.cif,-4.700016499
14364.cif,-9.447573662
1485.cif,-8.39745903
150918.cif,-5.551058769
150920.cif,-4.882494926
151900.cif,-5.058907032
154400.cif,-6.007084846
155126.cif,-4.942046642
155950.cif,-9.078248978
156894.cif,-7.13171196
157628.cif,-5.430188179
157654.cif,-3.143336296
158372.cif,-6.126096725
158373.cif,-5.64793539
159426.cif,-7.760566711
159732.cif,-7.507264137
161343.cif,-5.290315628
16229.cif,-9.186460495
167528.cif,-3.948051453
16800.cif,-4.368236065
168141.cif,-8.277489662
168145.cif,-9.936336517
170956.cif,-7.931602478
171171.cif,-5.985927582
174202.cif,-3.801010132
180318.cif,-3.351969957
180319.cif,-3.351969957
180629.cif,-5.918688774
180630.cif,-4.769949436
180631.cif,-4.841283798
180632.cif,-5.917367935
18096.cif,-6.774443626
18152.cif,-7.978740692
18229.cif,-2.982642174
183672.cif,-3.938425064
183676.cif,-4.084729195
183677.cif,-4.086506844
183686.cif,-3.252360344
183873.cif,-3.13730979
183876.cif,-7.5852108
185218.cif,-4.529882908
186450.cif,-5.260735512
186451.cif,-6.172093391
186452.cif,-6.526329517
188493.cif,-6.184180737
189530.cif,-5.423219681
190825.cif,-3.137262821
190826.cif,-3.332736492
190827.cif,-3.490051746
193755.cif,-2.523955345
193768.cif,-5.747674942
194284.cif,-6.84828949
195182.cif,-3.316478968
200874.cif,-7.474290848
200891.cif,-6.785310268
201935.cif,-7.117296219
20208.cif,-8.736383438
202627.cif,-2.996371508
234585.cif,-3.269153118
234586.cif,-3.488090038
234588.cif,-3.211648941
234592.cif,-3.2760396
234595.cif,-3.010294437
235185.cif,-3.583069801
235201.cif,-4.777698517
235207.cif,-4.942780018
235750.cif,-5.151557446
236010.cif,-8.451231956
237141.cif,-3.77807188
237145.cif,-4.445066452
237146.cif,-3.279808044
237199.cif,-5.093169212
237200.cif,-5.469859123
237201.cif,-5.483594894
238600.cif,-6.165398121
238601.cif,-5.437716484
238602.cif,-5.861997128
238603.cif,-6.920574188
238683.cif,-3.777907133
239278.cif,-6.053679466
239279.cif,-5.615841866
239663.cif,-4.1695261
239762.cif,-4.327035904
239763.cif,-6.675262451
240269.cif,-6.190175533
