Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
248,Li1.65 Mn0.65 In0.35 Cl4,9.9e-08,-7.004364805,,50306.cif,25.0,https://doi.org/10.1039/D2EE03499A
179,Li6.5 La3 Hf1.5 Ta0.5 O12,0.0004,-3.397940009,0.4,258921.cif,25.0,https://doi.org/10.1039/D2EE03499A
301,Li4 Ge1 S4,2e-07,-6.698970004,0.53,92200.cif,25.0,https://doi.org/10.1039/D2EE03499A
95,Li6.26 La3 Zr2 Al0.24 O12,0.00031,-3.508638306,0.33,195182.cif,25.0,https://doi.org/10.1039/D2EE03499A
227,Li6 P1 Cl1 O5,5.54e-10,-9.256490235,0.66,421479.cif,25.0,https://doi.org/10.1039/D2EE03499A
115,K1 Na2 Li3 Fe2 Si12 O30,1e-10,-10.0,1.22,235750.cif,25.0,https://doi.org/10.1039/D2EE03499A
422,Li6.25 Si0.25 P0.75 S5 I1,0.000130652,-3.883883938,0.262148093,LSPSI_X025.cif,25.0,10.1021/acs.chemmater.9b01857
201,Li1.5 Zn0.75 P1 S4,1.65e-05,-4.782516056,0.25,264463A.cif,25.0,https://doi.org/10.1039/D2EE03499A
177,Li0.9 Zr0.1 Sc0.9 O2,1e-10,-10.0,0.912,257820.cif,25.0,https://doi.org/10.1039/D2EE03499A
143,Li2.5 V2 P3 O12,1.9e-07,-6.721246399,,240269.cif,25.0,https://doi.org/10.1039/D2EE03499A
48,Sr1 Li6 La2 Sb2 O12,6.6e-06,-5.180456064,0.54,161343.cif,25.0,https://doi.org/10.1039/D2EE03499A
428,Li6.8 Si0.8 P0.2 S5 I1,0.000538162,-3.269086971,0.238783805,LSPSI_X080.cif,25.0,Saneyuki Ohno
364,Li6.125 Si0.125 P0.875 S5 Br1,0.000928036,-3.032435176,0.189163202,Li6.125P0.875Si0.125S5Br.cif,25.0,10.1039/C7TA08581H
65,Na0.3 Li0.2 La0.5 Nb2 O6,1.18e-05,-4.928117993,,180631.cif,25.0,https://doi.org/10.1039/D2EE03499A
203,Li6 B0.9 P1 H3.6 S4.9,0.0018,-2.744727495,0.166,264526.cif,25.0,https://doi.org/10.1039/D2EE03499A
354,Li4 Sn1 S4,1.61e-06,-5.793174124,0.47372079,Li4SnS4.cif,25.0,10.1021/acs.chemmater.9b01059
404,Li6 P1 S5 I1,1.77e-06,-5.752026734,0.40854,Li6PS5I_n.cif,25.0,10.1021/jacs.7b06327
271,Li2 Mg1 Cl4,6.24e-07,-6.20481541,,74957.cif,25.0,https://doi.org/10.1039/D2EE03499A
38,Li5 La3 Ta2 O12,4.33e-06,-5.363512104,0.5,154400.cif,25.0,https://doi.org/10.1039/D2EE03499A
392,Li6 P1 Se0.6 S4.4 Br1,0.002733462,-2.563286959,0.3412,Li6PS5Br_60Se.cif,25.0,10.1021/acs.inorgchem.8b02443
393,Li6 P1 Se0.7 S4.3 Br1,0.00301,-2.521433504,0.35,Li6PS5Br_70Se.cif,25.0,https://doi.org/10.1039/D2EE03499A
124,Li5.5 La3 Y0.25 Nb1.75 O12,9.18e-05,-4.037157319,,237145.cif,25.0,https://doi.org/10.1039/D2EE03499A
333,Li6.6 Ge0.6 P0.4 S5 I1,0.005119718,-2.29075396,0.23514,LGPSI_060_N.cif,25.0,10.1021/jacs.8b10282
195,Li1.5 Al0.5 Ge1.5 P3 O12,0.000286,-3.543633967,0.38,263764.cif,25.0,https://doi.org/10.1039/D2EE03499A
288,Li3 Al1 F6,5e-07,-6.301029996,0.54,85171.cif,25.0,https://doi.org/10.1039/D2EE03499A
194,Li1.5 Al0.5 Ge1.5 P3 O12,0.000336,-3.473660723,0.426,263763.cif,25.0,https://doi.org/10.1039/D2EE03499A
363,Li5.9 P1 Se4.9 Br1.1,0.002167087,-2.664123653,0.38451,Li59PSe49Br11.cif,25.0,Johannes Hartel
